	ticker	Date	Open	Close
0	BXC	2018-01-22	13.0	12.85
1	BXC	2018-01-23	12.96	12.95
2	BXC	2018-01-24	13.05	13.66
3	BXC	2018-01-25	13.76	13.91
4	BXC	2018-01-26	13.98	15.5
5	BXC	2018-01-29	15.6	16.03
6	BXC	2018-01-30	16.07	15.81
7	BXC	2018-01-31	15.95	16.19
8	BXC	2018-02-01	16.05	16.26
9	BXC	2018-02-02	16.2	15.83
10	BXC	2018-02-05	15.72	15.27
11	BXC	2018-02-06	14.78	15.58
12	BXC	2018-02-07	15.6	16.45
13	BXC	2018-02-08	16.94	15.42
14	BXC	2018-02-09	15.59	15.45
15	BXC	2018-02-12	16.2	15.96
16	BXC	2018-02-13	15.99	16.48
17	BXC	2018-02-14	16.49	16.13
18	BXC	2018-02-15	16.2	16.14
19	BXC	2018-02-16	16.1	16.49
20	BXC	2018-02-20	16.54	17.02
21	BXC	2018-02-21	17.05	16.01
22	BXC	2018-02-22	16.12	15.19
23	BXC	2018-02-23	15.3	15.18
24	BXC	2018-02-26	15.19	15.15
25	BXC	2018-02-27	15.05	14.71
26	BXC	2018-02-28	14.7	15.12
27	BXC	2018-03-01	15.5	16.12
28	BXC	2018-03-02	15.75	15.93
29	BXC	2018-03-05	15.91	15.71
30	BXC	2018-03-06	15.71	15.82
31	BXC	2018-03-07	15.74	16.32
32	BXC	2018-03-08	16.33	15.74
33	BXC	2018-03-09	15.81	15.79
34	BXC	2018-03-12	18.5	28.03
35	BXC	2018-03-13	30.6	34.06
36	BXC	2018-03-14	34.37	34.34
37	BXC	2018-03-15	34.64	34.58
38	BXC	2018-03-16	35.14	36.57
39	BXC	2018-03-19	36.57	36.68
40	BXC	2018-03-20	36.96	35.11
