	ticker	Date	Open	Close
0	NFLX	2018-01-22	222.0	227.58
1	NFLX	2018-01-23	255.05	250.29
2	NFLX	2018-01-24	250.88	261.279
3	NFLX	2018-01-25	263.0	269.74
4	NFLX	2018-01-26	271.485	274.6
5	NFLX	2018-01-29	274.2	284.59
6	NFLX	2018-01-30	277.0	278.8
7	NFLX	2018-01-31	281.94	270.3
8	NFLX	2018-02-01	266.41	265.07
9	NFLX	2018-02-02	263.0	267.43
10	NFLX	2018-02-05	262.0	255.59
11	NFLX	2018-02-06	247.7	265.72
12	NFLX	2018-02-07	266.58	264.56
13	NFLX	2018-02-08	267.08	250.0542
14	NFLX	2018-02-09	253.85	249.18
15	NFLX	2018-02-12	252.14	257.95
16	NFLX	2018-02-13	257.29	258.27
17	NFLX	2018-02-14	260.47	266.0
18	NFLX	2018-02-15	270.03	280.27
19	NFLX	2018-02-16	278.73	278.52
20	NFLX	2018-02-20	277.74	278.55
21	NFLX	2018-02-21	282.07	281.04
22	NFLX	2018-02-22	283.88	278.14
23	NFLX	2018-02-23	281.0	285.93
24	NFLX	2018-02-26	288.75	294.16
25	NFLX	2018-02-27	294.77	290.61
26	NFLX	2018-02-28	293.1	291.38
27	NFLX	2018-03-01	292.75	290.39
28	NFLX	2018-03-02	284.65	301.05
29	NFLX	2018-03-05	302.85	315.0
30	NFLX	2018-03-06	319.88	325.22
31	NFLX	2018-03-07	320.0	321.16
32	NFLX	2018-03-08	322.2	317.0
33	NFLX	2018-03-09	321.33	331.44
34	NFLX	2018-03-12	333.56	321.3
35	NFLX	2018-03-13	323.87	315.88
36	NFLX	2018-03-14	318.16	321.55
37	NFLX	2018-03-15	323.17	321.09
38	NFLX	2018-03-16	321.42	318.45
39	NFLX	2018-03-19	315.8	313.48
40	NFLX	2018-03-20	313.26	317.5
