	ticker	Date	Open	Close
0	MCD	2018-01-22	175.97	176.21
1	MCD	2018-01-23	175.57	176.81
2	MCD	2018-01-24	177.3	176.12
3	MCD	2018-01-25	176.4	175.66
4	MCD	2018-01-26	175.67	178.36
5	MCD	2018-01-29	178.3	177.77
6	MCD	2018-01-30	177.1	172.48
7	MCD	2018-01-31	173.6	171.14
8	MCD	2018-02-01	170.27	171.9
9	MCD	2018-02-02	170.8	169.38
10	MCD	2018-02-05	168.61	163.85
11	MCD	2018-02-06	158.35	165.18
12	MCD	2018-02-07	164.86	165.71
13	MCD	2018-02-08	165.69	158.97
14	MCD	2018-02-09	159.98	160.8
15	MCD	2018-02-12	162.37	163.9
16	MCD	2018-02-13	163.0	162.4
17	MCD	2018-02-14	161.44	159.99
18	MCD	2018-02-15	161.14	160.78
19	MCD	2018-02-16	159.47	157.79
20	MCD	2018-02-20	157.0	157.16
21	MCD	2018-02-21	157.76	158.64
22	MCD	2018-02-22	158.95	160.66
23	MCD	2018-02-23	161.44	163.06
24	MCD	2018-02-26	164.0	163.58
25	MCD	2018-02-27	164.19	160.66
26	MCD	2018-02-28	160.43	157.74
27	MCD	2018-03-01	157.8	155.7
28	MCD	2018-03-02	148.91	148.27
29	MCD	2018-03-05	148.28	151.03
30	MCD	2018-03-06	151.25	151.2
31	MCD	2018-03-07	149.86	152.38
32	MCD	2018-03-08	152.73	154.44
33	MCD	2018-03-09	155.62	157.24
34	MCD	2018-03-12	157.74	157.74
35	MCD	2018-03-13	158.56	158.22
36	MCD	2018-03-14	159.0	158.24
37	MCD	2018-03-15	158.71	161.61
38	MCD	2018-03-16	161.88	162.36
39	MCD	2018-03-19	162.0	159.01
40	MCD	2018-03-20	159.75	159.38
