	ticker	Date	Open	Close
0	AAPL	2018-01-22	177.3	177.0
1	AAPL	2018-01-23	177.3	177.04
2	AAPL	2018-01-24	177.25	174.22
3	AAPL	2018-01-25	174.505	171.11
4	AAPL	2018-01-26	172.0	171.51
5	AAPL	2018-01-29	170.16	167.96
6	AAPL	2018-01-30	165.525	166.97
7	AAPL	2018-01-31	166.87	167.43
8	AAPL	2018-02-01	167.165	167.78
9	AAPL	2018-02-02	166.0	160.37
10	AAPL	2018-02-05	159.1	157.49
11	AAPL	2018-02-06	154.83	163.03
12	AAPL	2018-02-07	163.085	159.54
13	AAPL	2018-02-08	160.29	155.32
14	AAPL	2018-02-09	157.07	155.97
15	AAPL	2018-02-12	158.5	162.71
16	AAPL	2018-02-13	161.95	164.34
17	AAPL	2018-02-14	163.045	167.37
18	AAPL	2018-02-15	169.79	172.99
19	AAPL	2018-02-16	172.36	172.43
20	AAPL	2018-02-20	172.05	171.85
21	AAPL	2018-02-21	172.83	171.07
22	AAPL	2018-02-22	171.8	172.6
23	AAPL	2018-02-23	173.67	175.555
24	AAPL	2018-02-26	176.35	178.97
25	AAPL	2018-02-27	179.1	178.39
26	AAPL	2018-02-28	179.26	178.12
27	AAPL	2018-03-01	178.54	175.0
28	AAPL	2018-03-02	172.8	176.21
29	AAPL	2018-03-05	175.21	176.82
30	AAPL	2018-03-06	177.91	176.67
31	AAPL	2018-03-07	174.94	175.03
32	AAPL	2018-03-08	175.48	176.94
33	AAPL	2018-03-09	177.96	179.98
34	AAPL	2018-03-12	180.29	181.72
35	AAPL	2018-03-13	182.59	179.97
36	AAPL	2018-03-14	180.32	178.44
37	AAPL	2018-03-15	178.5	178.65
38	AAPL	2018-03-16	178.65	178.02
39	AAPL	2018-03-19	177.32	175.3
40	AAPL	2018-03-20	175.24	175.24
