	ticker	Date	Open	Close
0	AMZN	2018-01-22	1297.17	1327.31
1	AMZN	2018-01-23	1338.09	1362.54
2	AMZN	2018-01-24	1374.82	1357.51
3	AMZN	2018-01-25	1368.0	1377.95
4	AMZN	2018-01-26	1392.01	1402.05
5	AMZN	2018-01-29	1409.18	1417.68
6	AMZN	2018-01-30	1403.17	1437.82
7	AMZN	2018-01-31	1451.3	1451.65
8	AMZN	2018-02-01	1445.0	1390.0
9	AMZN	2018-02-02	1477.39	1431.0
10	AMZN	2018-02-05	1402.62	1396.62
11	AMZN	2018-02-06	1361.46	1442.84
12	AMZN	2018-02-07	1449.0	1416.78
13	AMZN	2018-02-08	1429.67	1350.47
14	AMZN	2018-02-09	1373.49	1338.99
15	AMZN	2018-02-12	1364.67	1386.23
16	AMZN	2018-02-13	1385.93	1414.51
17	AMZN	2018-02-14	1406.25	1451.05
18	AMZN	2018-02-15	1466.89	1461.76
19	AMZN	2018-02-16	1457.37	1448.69
20	AMZN	2018-02-20	1446.49	1468.35
21	AMZN	2018-02-21	1485.0	1482.92
22	AMZN	2018-02-22	1495.36	1484.76
23	AMZN	2018-02-23	1495.34	1500.0
24	AMZN	2018-02-26	1509.2	1521.95
25	AMZN	2018-02-27	1524.5	1511.98
26	AMZN	2018-02-28	1519.51	1512.45
27	AMZN	2018-03-01	1513.6	1493.45
28	AMZN	2018-03-02	1469.1	1500.25
29	AMZN	2018-03-05	1494.24	1523.61
30	AMZN	2018-03-06	1533.2	1537.64
31	AMZN	2018-03-07	1526.52	1545.0
32	AMZN	2018-03-08	1550.0	1551.86
33	AMZN	2018-03-09	1563.5	1578.89
34	AMZN	2018-03-12	1592.6	1598.39
35	AMZN	2018-03-13	1615.96	1588.18
36	AMZN	2018-03-14	1597.0	1591.0
37	AMZN	2018-03-15	1595.0	1582.32
38	AMZN	2018-03-16	1583.45	1571.68
39	AMZN	2018-03-19	1554.53	1544.93
40	AMZN	2018-03-20	1550.34	1586.51
